Iteration,Area,BestArea,Temperature
355000,167.5,81,50.8448
356000,117,81,50.5912
357000,137,81,50.3389
358000,185,81,50.0878
359000,165.5,81,49.838
360000,159,81,49.5894
361000,158,81,49.3421
362000,179,81,49.096
363000,135,81,48.8512
364000,135.5,81,48.6075
365000,113.5,81,48.3651
366000,153.5,81,48.1239
367000,183.5,81,47.8838
368000,161,81,47.645
369000,174,81,47.4074
370000,157,81,47.1709
371000,164.5,81,46.9357
372000,217,81,46.7016
373000,142.5,81,46.4686
374000,165,81,46.2369
375000,159.5,81,46.0063
376000,169,81,45.7768
377000,134,81,45.5485
378000,158,81,45.3213
379000,162,81,45.0953
380000,146,81,44.8704
381000,137.5,81,44.6466
382000,140,81,44.4239
383000,171.5,81,44.2023
384000,177.5,81,43.9819
385000,187.5,81,43.7625
386000,118,81,43.5442
387000,152.5,81,43.3271
388000,198,81,43.111
389000,146.5,81,42.896
390000,176,81,42.682
391000,152.5,81,42.4691
392000,169,81,42.2573
393000,188,81,42.0466
394000,153,81,41.8369
395000,188.5,81,41.6282
396000,158,81,41.4206
397000,191,81,41.214
398000,151,81,41.0084
399000,206,81,40.8039
400000,140,81,40.6004
401000,189,81,40.3979
402000,112.5,81,40.1964
403000,144.5,81,39.9959
404000,158.5,81,39.7964
405000,143.5,81,39.598
406000,144,81,39.4005
407000,117,81,39.2039
408000,199.5,81,39.0084
409000,150,81,38.8139
410000,148.5,81,38.6203
411000,185.5,81,38.4277
412000,195.5,81,38.236
413000,176,81,38.0453
414000,174,81,37.8555
415000,210.5,81,37.6667
416000,149,81,37.4789
417000,162.5,81,37.2919
418000,173.5,81,37.1059
419000,166,81,36.9209
420000,177,81,36.7367
421000,120,81,36.5535
422000,169.5,81,36.3712
423000,122.5,81,36.1898
424000,173.5,81,36.0093
425000,159,81,35.8297
426000,158,81,35.651
427000,158,81,35.4732
428000,145.5,81,35.2963
429000,116,81,35.1202
430000,201,81,34.9451
431000,151,81,34.7708
432000,173.5,81,34.5973
433000,140.5,81,34.4248
434000,183.5,81,34.2531
435000,189,81,34.0823
436000,168.5,81,33.9123
437000,178.5,81,33.7431
438000,143,81,33.5748
439000,159.5,81,33.4074
440000,155.5,81,33.2408
441000,140,81,33.075
442000,157.5,81,32.91
443000,201.5,81,32.7459
444000,142.5,81,32.5826
445000,158.5,81,32.42
446000,151,81,32.2583
447000,166,81,32.0975
448000,167,81,31.9374
449000,171,81,31.7781
450000,127.5,81,31.6196
451000,172.5,81,31.4619
452000,167.5,81,31.305
453000,160.5,81,31.1488
454000,152.5,81,30.9935
455000,169,81,30.8389
456000,139,81,30.6851
457000,197,81,30.532
458000,151,81,30.3798
459000,125,81,30.2282
460000,107.5,81,30.0775
461000,128.5,81,29.9275
462000,147,81,29.7782
463000,114,81,29.6297
464000,134,81,29.4819
465000,157.5,81,29.3349
466000,162.5,81,29.1886
467000,153.5,81,29.043
468000,197,81,28.8981
469000,137,81,28.754
470000,142.5,81,28.6106
471000,120,81,28.4679
472000,185,81,28.3259
473000,147,81,28.1846
474000,198.5,81,28.0441
475000,183.5,81,27.9042
476000,144,81,27.765
477000,158,81,27.6265
478000,191,81,27.4887
479000,120.5,81,27.3516
480000,159,81,27.2152
481000,195,81,27.0795
482000,147.5,81,26.9444
483000,132,81,26.81
484000,145.5,81,26.6763
485000,141.5,81,26.5433
486000,158,81,26.4109
487000,161.5,81,26.2792
488000,169,81,26.1481
489000,150,81,26.0177
490000,174,81,25.8879
491000,166.5,81,25.7588
492000,139.5,81,25.6303
493000,173.5,81,25.5025
494000,154.5,81,25.3753
495000,167.5,81,25.2487
496000,140.5,81,25.1228
497000,115.5,81,24.9975
498000,126.5,81,24.8728
499000,151.5,81,24.7488
500000,125,81,24.6253
501000,159.5,81,24.5025
502000,145,81,24.3803
503000,154.5,81,24.2587
504000,155,81,24.1377
505000,142,81,24.0173
506000,169,81,23.8976
507000,161,81,23.7784
508000,148,81,23.6598
509000,132,81,23.5418
510000,132.5,81,23.4244
511000,166.5,81,23.3075
512000,174.5,81,23.1913
513000,159.5,81,23.0756
514000,155,81,22.9605
515000,190,81,22.846
516000,125.5,81,22.7321
517000,170.5,81,22.6187
518000,187,81,22.5059
519000,126,81,22.3936
520000,118,81,22.2819
521000,148.5,81,22.1708
522000,192.5,81,22.0602
523000,146.5,81,21.9502
524000,139.5,81,21.8407
525000,141.5,81,21.7318
526000,159,81,21.6234
527000,196.5,81,21.5155
528000,97,81,21.4082
529000,133,81,21.3015
530000,128,81,21.1952
531000,142,81,21.0895
532000,172.5,81,20.9843
533000,172.5,81,20.8797
534000,155,81,20.7755
535000,121,81,20.6719
536000,129.5,81,20.5688
537000,128,81,20.4662
538000,119,81,20.3641
539000,175,81,20.2626
540000,154.5,81,20.1615
541000,188,81,20.061
542000,166.5,81,19.9609
543000,168.5,81,19.8614
544000,141.5,81,19.7623
545000,151,81,19.6637
546000,157,81,19.5657
547000,145.5,81,19.4681
548000,154.5,81,19.371
549000,168.5,81,19.2744
550000,128,81,19.1782
551000,124.5,81,19.0826
552000,127.5,81,18.9874
553000,137,81,18.8927
554000,144,81,18.7985
555000,148.5,81,18.7047
556000,127,81,18.6114
557000,135.5,81,18.5186
558000,133.5,81,18.4262
559000,158,81,18.3343
560000,134.5,81,18.2429
561000,148.5,81,18.1519
562000,120,81,18.0614
563000,111,81,17.9713
564000,135.5,81,17.8817
565000,165.5,81,17.7925
566000,168.5,81,17.7037
567000,137,81,17.6154
568000,144,81,17.5276
569000,132.5,81,17.4402
570000,141,81,17.3532
571000,153,81,17.2666
572000,165.5,81,17.1805
573000,186,81,17.0948
574000,135.5,81,17.0096
575000,108,81,16.9247
576000,107.5,81,16.8403
577000,150.5,81,16.7563
578000,138,81,16.6727
579000,122,81,16.5896
580000,162,81,16.5068
581000,101,81,16.4245
582000,125,81,16.3426
583000,171,81,16.2611
584000,163,81,16.18
585000,127.5,81,16.0993
586000,105.5,81,16.019
587000,183,81,15.9391
588000,184,81,15.8596
589000,127,81,15.7805
590000,147.5,81,15.7018
591000,115.5,81,15.6235
592000,175.5,81,15.5456
593000,143.5,81,15.468
594000,166,81,15.3909
595000,130.5,81,15.3141
596000,96.5,81,15.2377
597000,113.5,81,15.1617
598000,127,81,15.0861
599000,114.5,81,15.0109
600000,134.5,81,14.936
601000,124.5,81,14.8615
602000,131.5,81,14.7874
603000,103,81,14.7136
604000,164,81,14.6403
605000,150.5,81,14.5672
606000,150,81,14.4946
607000,128,81,14.4223
608000,128.5,81,14.3504
609000,141.5,81,14.2788
610000,99,81,14.2076
611000,138,81,14.1367
612000,135.5,81,14.0662
613000,120.5,81,13.996
614000,178,81,13.9262
615000,141.5,81,13.8568
616000,126,81,13.7877
617000,116.5,81,13.7189
618000,117,81,13.6505
619000,177.5,81,13.5824
620000,165,81,13.5147
621000,134.5,81,13.4473
622000,151,81,13.3802
623000,84.5,81,13.3134
624000,116,81,13.247
625000,167.5,81,13.181
626000,194.5,81,13.1152
627000,196.5,81,13.0498
628000,110,81,12.9847
629000,131,81,12.92
630000,116.5,81,12.8555
631000,133.5,81,12.7914
632000,127,81,12.7276
633000,136.5,81,12.6641
634000,105.5,81,12.601
635000,130,81,12.5381
636000,146,81,12.4756
637000,121,81,12.4134
638000,92,81,12.3515
639000,137,81,12.2899
640000,112.5,81,12.2286
641000,160,81,12.1676
642000,147,81,12.1069
643000,136.5,81,12.0465
644000,162,81,11.9864
645000,134,81,11.9266
646000,121,81,11.8672
647000,141.5,81,11.808
648000,119,81,11.7491
649000,120,81,11.6905
650000,100.5,81,11.6322
651000,107,78,11.5742
652000,96.5,78,11.5164
653000,139.5,78,11.459
654000,145.5,78,11.4018
655000,153.5,78,11.345
656000,139.5,78,11.2884
657000,144,78,11.2321
658000,146,78,11.1761
659000,127.5,78,11.1203
660000,161,78,11.0649
661000,128.5,78,11.0097
662000,105,78,10.9548
663000,146,78,10.9001
664000,124.5,78,10.8458
665000,154,78,10.7917
666000,123.5,78,10.7378
667000,160,78,10.6843
668000,114,78,10.631
669000,121,78,10.578
670000,155.5,78,10.5252
671000,146.5,78,10.4727
672000,116.5,78,10.4205
673000,129.5,78,10.3685
674000,106.5,78,10.3168
675000,126,78,10.2653
676000,127,78,10.2142
677000,114.5,78,10.1632
678000,152.5,78,10.1125
679000,136,78,10.0621
680000,143.5,78,10.0119
681000,126,78,9.96196
682000,136.5,78,9.91228
683000,100.5,78,9.86284
684000,134,78,9.81365
685000,135,78,9.7647
686000,122.5,78,9.716
687000,162.5,78,9.66754
688000,120.5,78,9.61932
689000,102,78,9.57135
690000,110.5,78,9.52361
691000,118.5,78,9.47611
692000,120.5,78,9.42885
693000,102,78,9.38182
694000,142.5,78,9.33503
695000,101,78,9.28847
696000,133,78,9.24214
697000,97.5,78,9.19605
698000,117.5,78,9.15018
699000,124.5,78,9.10454
700000,107.5,78,9.05914
701000,127,78,9.01395
702000,101,78,8.969
703000,134,78,8.92426
704000,115.5,78,8.87975
705000,104,78,8.83546
706000,122,78,8.7914
707000,115.5,78,8.74755
708000,133.5,78,8.70392
709000,107,78,8.66051
710000,96,78,8.61732
711000,110,78,8.57434
712000,153,78,8.53157
713000,134,78,8.48902
714000,152.5,78,8.44668
715000,114.5,78,8.40455
716000,137,78,8.36263
717000,94,78,8.32093
718000,109,78,8.27942
719000,117,78,8.23813
720000,164.5,78,8.19704
721000,126,78,8.15616
722000,109,78,8.11548
723000,164.5,78,8.075
724000,130,78,8.03473
725000,120.5,78,7.99466
726000,147.5,78,7.95478
727000,108,78,7.91511
728000,120.5,78,7.87563
729000,93,78,7.83635
730000,103,78,7.79727
731000,157,78,7.75838
732000,105.5,78,7.71968
733000,106,78,7.68118
734000,105.5,78,7.64287
735000,127,78,7.60475
736000,111.5,78,7.56682
737000,140.5,78,7.52908
738000,100.5,78,7.49153
739000,124.5,78,7.45417
740000,113,78,7.41699
741000,104.5,78,7.38
742000,96,78,7.34319
743000,115,78,7.30656
744000,105,78,7.27012
745000,124,78,7.23386
746000,113.5,78,7.19778
747000,118,78,7.16188
748000,108,78,7.12616
749000,107.5,78,7.09062
750000,103,78,7.05526
751000,120,78,7.02007
752000,101,78,6.98506
753000,122,78,6.95022
754000,101,78,6.91555
755000,102,78,6.88106
756000,101.5,78,6.84674
757000,105,78,6.81259
758000,93,78,6.77862
759000,98,78,6.74481
760000,108,78,6.71117
761000,117.5,78,6.6777
762000,127,78,6.64439
763000,100,78,6.61125
764000,93,78,6.57828
765000,128,78,6.54547
766000,96.5,78,6.51282
767000,101.5,78,6.48034
768000,118,78,6.44802
769000,106.5,78,6.41586
770000,129.5,78,6.38386
771000,111.5,78,6.35202
772000,106,78,6.32034
773000,117.5,78,6.28882
774000,96.5,78,6.25745
775000,107.5,78,6.22624
776000,129.5,78,6.19519
777000,126,78,6.16429
778000,96.5,78,6.13354
779000,88.5,78,6.10295
780000,103.5,78,6.07251
781000,125.5,78,6.04223
782000,116.5,78,6.01209
783000,94,78,5.98211
784000,106.5,78,5.95227
785000,103,78,5.92258
786000,94.5,78,5.89304
787000,106.5,78,5.86365
788000,94.5,78,5.83441
789000,101,78,5.80531
790000,113.5,78,5.77635
791000,100,78,5.74754
792000,135,78,5.71888
793000,101,78,5.69035
794000,105,78,5.66197
795000,87,78,5.63373
796000,116.5,78,5.60564
797000,127.5,78,5.57768
798000,117.5,78,5.54986
799000,100,78,5.52218
800000,90.5,78,5.49464
801000,125,78,5.46723
802000,98.5,78,5.43996
803000,141.5,78,5.41283
804000,133.5,78,5.38584
805000,114.5,78,5.35897
806000,119.5,78,5.33225
807000,107,78,5.30565
808000,129,78,5.27919
809000,113,78,5.25286
810000,100,78,5.22666
811000,104,78,5.20059
812000,117.5,78,5.17465
813000,106,78,5.14884
814000,113,78,5.12316
815000,109,78,5.09761
816000,119,78,5.07219
817000,98.5,78,5.04689
818000,102,78,5.02172
819000,97,78,4.99667
820000,89,78,4.97175
821000,108.5,78,4.94695
822000,90,78,4.92228
823000,100,78,4.89773
824000,98.5,78,4.8733
825000,100.5,78,4.849
826000,105.5,78,4.82481
827000,105,78,4.80075
828000,102.5,78,4.77681
829000,101,78,4.75298
830000,113.5,78,4.72928
831000,92.5,78,4.70569
832000,92.5,78,4.68222
833000,92.5,78,4.65887
834000,99,78,4.63563
835000,106.5,78,4.61251
836000,105.5,78,4.5895
837000,100.5,78,4.56661
838000,97.5,78,4.54384
839000,93.5,78,4.52118
840000,95,78,4.49863
841000,112.5,78,4.47619
842000,95,78,4.45386
843000,95,78,4.43165
844000,101.5,78,4.40955
845000,107,78,4.38755
846000,95,78,4.36567
847000,116.5,78,4.3439
848000,95,78,4.32223
849000,92,78,4.30067
850000,92,78,4.27922
851000,104,78,4.25788
852000,102,78,4.23665
853000,100.5,78,4.21552
854000,88,78,4.19449
855000,88,78,4.17357
856000,88,78,4.15275
857000,88,78,4.13204
858000,88,78,4.11143
859000,88,78,4.09093
860000,88,78,4.07052
861000,88,78,4.05022
862000,88,78,4.03002
863000,88,78,4.00992
864000,88,78,3.98992
865000,94,78,3.97002
866000,94,78,3.95022
867000,88,78,3.93052
868000,88,78,3.91092
869000,88,78,3.89141
870000,88,78,3.872
871000,88,78,3.85269
872000,88,78,3.83347
873000,88,78,3.81435
874000,88,78,3.79533
875000,88,78,3.7764
876000,88,78,3.75757
877000,88,78,3.73883
878000,88,78,3.72018
879000,88,78,3.70162
880000,88,78,3.68316
881000,88,78,3.66479
882000,88,78,3.64651
883000,82.5,78,3.62833
884000,88.5,78,3.61023
885000,90.5,78,3.59222
886000,91.5,78,3.57431
887000,95,78,3.55648
888000,95,78,3.53874
889000,82.5,78,3.52109
890000,87,78,3.50353
891000,82.5,78,3.48606
892000,82.5,78,3.46867
893000,82.5,78,3.45137
894000,82.5,78,3.43416
895000,87,78,3.41703
896000,82.5,78,3.39999
897000,91,78,3.38303
898000,110,78,3.36616
899000,100,78,3.34937
900000,97,78,3.33266
901000,99,78,3.31604
902000,98.5,78,3.2995
903000,100.5,78,3.28304
904000,103.5,78,3.26667
905000,99,78,3.25038
906000,95,78,3.23417
907000,100.5,78,3.21804
908000,101,78,3.20199
909000,95,78,3.18602
910000,100.5,78,3.17013
911000,96.5,78,3.15431
912000,100.5,78,3.13858
913000,101,78,3.12293
914000,99,78,3.10735
915000,96.5,78,3.09185
916000,99,78,3.07643
917000,98.5,78,3.06109
918000,101,78,3.04582
919000,101,78,3.03063
920000,96.5,78,3.01552
921000,97,78,3.00048
922000,97,78,2.98551
923000,97,78,2.97062
924000,95,78,2.9558
925000,98.5,78,2.94106
926000,96.5,78,2.92639
927000,96.5,78,2.9118
928000,103,78,2.89728
929000,103,78,2.88283
930000,101,78,2.86845
931000,95.5,78,2.85414
932000,95.5,78,2.83991
933000,95.5,78,2.82574
934000,95.5,78,2.81165
935000,95.5,78,2.79762
936000,97,78,2.78367
937000,95.5,78,2.76979
938000,101,78,2.75597
939000,101,78,2.74223
940000,96.5,78,2.72855
941000,97.5,78,2.71494
942000,91.5,78,2.7014
943000,93,78,2.68793
944000,95,78,2.67452
945000,95.5,78,2.66118
946000,87,78,2.64791
947000,87,78,2.6347
948000,87,78,2.62156
949000,95,78,2.60849
950000,98,78,2.59548
951000,87,78,2.58253
952000,87,78,2.56965
953000,87,78,2.55684
954000,93,78,2.54408
955000,95,78,2.5314
956000,87,78,2.51877
957000,95,78,2.50621
958000,87,78,2.49371
959000,87,78,2.48127
960000,87,78,2.46889
961000,87,78,2.45658
962000,90.5,78,2.44433
963000,98.5,78,2.43214
964000,91.5,78,2.42001
965000,87,78,2.40794
966000,87,78,2.39593
967000,87,78,2.38398
968000,87,78,2.37209
969000,91.5,78,2.36026
970000,87,78,2.34848
971000,87,78,2.33677
972000,87,78,2.32512
973000,87,78,2.31352
974000,91.5,78,2.30198
975000,90.5,78,2.2905
976000,91.5,78,2.27908
977000,87,78,2.26771
978000,87,78,2.2564
979000,87,78,2.24515
980000,95,78,2.23395
981000,87,78,2.22281
982000,91.5,78,2.21172
983000,93,78,2.20069
984000,93,78,2.18971
985000,93,78,2.17879
986000,87,78,2.16792
987000,95,78,2.15711
988000,90.5,78,2.14635
989000,95,78,2.13565
990000,91.5,78,2.125
991000,87,78,2.1144
992000,87,78,2.10385
993000,91.5,78,2.09336
994000,87,78,2.08292
995000,87,78,2.07253
996000,90.5,78,2.06219
997000,87,78,2.05191
998000,90.5,78,2.04167
999000,87,78,2.03149
1000000,90.5,78,2.02136
